domain,tld,is_https,url_length,num_hyphens,num_digits,num_special_chars,num_path_segments,has_ssl,whois_registrar,whois_country,domain_age_days,is_phishing
clarin.com.ar,com.ar,0,13,0,0,0,0,0,nicar,Desconocido,4220,0
lanacion.com.ar,com.ar,0,15,0,0,0,0,1,nicar,Desconocido,4220,0
infobae.com.ar,com.ar,0,14,0,0,0,0,0,nicar,Desconocido,4213,0
pagina12.com.ar,com.ar,0,15,0,2,0,0,1,nicar,Desconocido,4180,0
ole.com.ar,com.ar,0,10,0,0,0,0,1,nicar,Desconocido,4220,0
afip.gob.ar,gob.ar,0,11,0,0,0,0,1,nicar,Desconocido,4151,0
anses.gob.ar,gob.ar,0,12,0,0,0,0,1,nicar,Desconocido,3991,0
bna.com.ar,com.ar,0,10,0,0,0,0,1,nicar,Desconocido,4149,0
fibertel.com.ar,com.ar,0,15,0,0,0,0,0,nicar,Desconocido,4222,0
musimundo.com.ar,com.ar,0,16,0,0,0,0,0,nicar,Desconocido,4117,0
uade.edu.ar,edu.ar,0,11,0,0,0,0,1,Error,Error,-1,0
itba.edu.ar,edu.ar,0,11,0,0,0,0,0,Error,Error,-1,0
utn.edu.ar,edu.ar,0,10,0,0,0,0,1,Error,Error,-1,0
uba.ar,ar,0,6,0,0,0,0,1,nicar,Desconocido,3963,0
taringa.net,net,0,11,0,0,0,0,1,"CSC Corporate Domains, Inc.",CA,7258,0
mercadolibre.com.ar,com.ar,0,19,0,0,0,0,1,nicar,Desconocido,4163,0
coto.com.ar,com.ar,0,11,0,0,0,0,0,nicar,Desconocido,4086,0
jumbo.com.ar,com.ar,0,12,0,0,0,0,1,nicar,Desconocido,4222,0
fravega.com.ar,com.ar,0,14,0,0,0,0,1,nicar,Desconocido,4012,0
garbarino.com.ar,com.ar,0,16,0,0,0,0,1,nicar,Desconocido,4181,0
santander.com.ar,com.ar,0,16,0,0,0,0,1,nicar,Desconocido,4200,0
bancogalicia.com.ar,com.ar,0,19,0,0,0,0,1,nicar,Desconocido,4216,0
bancoprovincia.com.ar,com.ar,0,21,0,0,0,0,0,nicar,Desconocido,4171,0
macro.com.ar,com.ar,0,12,0,0,0,0,1,nicar,Desconocido,4171,0
bbva.com.ar,com.ar,0,11,0,0,0,0,1,nicar,Desconocido,4221,0
