Nombre,URL,Categoría,Descripción
Learn Spanish in Buenos Aires with Expanish,http://www.expanish.com/index.php,Educación,"Expanish is more than just a Spanish language school; we offer quality Spanish courses in Buenos Aires that are combined with a range of cultural activities, excursions and accommodation options that allow our [...] - Detalles del Sitio"
Webuniversitaria.com,http://www.webuniversitaria.com,Educación,"Directorio universitario argentino, que concentra la información educativa pública y privada de todo el país. Encontrarás carreras, programas y un formulario para contactarte con todas las instituciones educativas. - Detalles del Sitio"
Linux Collegium,http://www.linuxcollegium.com.ar/,Educación,"Samos líderes en la enseñanza de software libre
Carrera Linux, Seguridad Avanzada. Asterisk VOIP. PHP y MySQL - Detalles del Sitio"
Cursos Masajes,http://www.cursosmasajes.net/,Educación,"Aprende con nosotros las técnicas de masajes más utilizadas: drenaje linfatico, masaje ayurvedico, masaje tailandes, masajes reductores, masajes con piedras calientes y convertite en una Masajista Profesional. [...] - Detalles del Sitio"
cursos a distancia- Instituto de Formacion Profecional CBTech,http://www.aprender21.com,Educación,El Instituto de Formación Profesional CBTech cuenta con más de 1.500 alumnos en España y Latinoamérica. 7 años de experiencia en la investigación y desarrollo de tecnología para la Educación a Distancia. [...] - Detalles del Sitio
Cursos de masajista,http://www.masajescursos.org,Educación,"Cursos de Masajes – Masajista Profesional y Relax en Centro Medico Escuela. Aprendé a manejar las distintas técnicas de masajes: masaje ayurvedico, masajes con piedras calientes, drenaje linfatico, masaje [...] - Detalles del Sitio"
webcic,http://www.webcic.com.ar,Educación,"cursos de ingles y computacion
clases de apoyo todos los niveles
zona oeste - Detalles del Sitio"
Curso de tecnico en electrocardiograma,http://www.electrocardiograma.org,Educación,Centro Médico Escuela dicta cursos de Técnico en Electrocardiograma para que puedas trabajar como asistente de un médico cardiólogo. Se entregan certificado de estudios y credencial. Capacitarte te abre las [...] - Detalles del Sitio
Cursos de Maquillaje Profesional y Artistico,http://www.cursosdemaquillaje.org,Educación,"Cursos de Maquillaje Artistico y Profesional. Conoce en nuestra pagina la historia del maquillaje, los tipos de productos, trucos y secretos. Capacitarte te abre las puertas hacia una excelente salida laboral. [...] - Detalles del Sitio"
GRUPO BUENA LETRA,http://www.grupobuenaletra.com.ar,Educación,"El Grupo Buena Letra está formado por un equipo de especialistas en redacción, corrección y traducción de textos. La consultora brinda también talleres de competencia comunicativa y de comunicación corporativa - Detalles del Sitio"
